,categories,full_description,id,languages,name,prohibited_content,short_description,topic
0,[],"This is just one part of the network, run by the main developers of the project 🐘 It is not focused on any particular niche interest - everyone is welcome as long as you follow our code of conduct!",59067231bf4623585ed68d91,['en'],mastodon.social,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising']",General-purpose server run by the lead developer of Mastodon,
1,['adult'],"NSFW content warning! Instance admins: please silence us to prevent NSFW avatars/content from appearing in your federated timelines until we can figure out a solution.

In light of the FOSTA/SESTA bill and the recent shadow-banning of our accounts, we’ve decided to take social into our own hands.

This is an open and free community and your space to advertise, release new shoots, announce tour dates and whatever else you’d like to do! It’s in your hands. It works similar to previous social networks but it’s censorship free!


",5abb3e0c8e26a17641e82437,['en'],switter.at,"['illegalContentLinks', 'spam']",A sex work-friendly social space.,sex work
2,['tech'],A place for tech folks to discuss whatever interests them! Adheres to a code of conduct. Blocks instances with hate speech and/or illegal content.,58e423c8d525c115f34670dc,['en'],mastodon.technology,"['nudity_all', 'pornography_nocw', 'pornography_all', 'spam', 'advertising']",A place for tech folks to discuss whatever interests them! Adheres to a code of conduct.,"Tech, software dev+design, nerd jokes"
3,[],This is a single-user Mastodon instance.,58efcc1e93ec4e6e86a76c1d,['en'],myles.life,[],This is a single-user Mastodon instance.,
4,[],"mamot.fr is maintained by La Quadrature du Net sysadmin team, a team of volunteers who monitor, upgrade and answer to reports on the services provided by La Quadrature to everyone. We also provide Jabber, Jitsi meet, Searx and Etherpad service to anyone who need it. 
Our policy has been specifically written by our team, and is available in French here : https://mamot.fr/terms",58e6204a5002cc7716dd3eee,"['en', 'fr']",mamot.fr,[],"Mamot.fr is the mastodon social network instance maintained by La Quadrature du Net, digital freedom organization based in Paris",
5,"['academia', 'activism', 'art', 'books', 'journalism', 'lgbt', 'tech']","chaos.social - because anarchy is much more fun with friends.
chaos.social is a small Mastodon instance for and by the chaos community. We provide a small community space - be excellent to each other (and read the rules if you're not sure what that means).

Since ""Be excellent to each other"" is much easier said than done, we have a (non-exhaustive) list of behaviours on our about page that may lead to deletion of toots, and silencing or suspension of accounts, if problems persist.",58efd23d93ec4e6e86a76c30,"['en', 'de']",chaos.social,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising']",chaos.social - because anarchy is much more fun with friends. For and by the chaos community.,
6,[],"Generalistic and moderated instance. All opinions are welcome, but hate speeches are prohibited.

Users who don't respect rules will be silenced, or suspended if they harass other people or if the the violation is considered too large.",58e10e8d72782604c488bd35,"['en', 'fr']",mastodon.xyz,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam']","Generalistic and moderated instance. All opinions are welcome, but hate speeches are prohibited.",
7,[],"Octodon.social is a general purpose instance, where topics are mostly technical and scientific, but there's a bit of everything.
Federates with everything, allows nearly everything lawful in France.
Moderation policy is explained in details on our /about/more page; it is a pretty safe space. Harassment, bullying, or hate speech are not tolerated.
As the definition is often forgotten and altered, a safe space is a community where people (especially women, PoC and LGBT+) are protected from oppression and everyday harassment. Our goal is for every member to feel safe and welcome. (but of course that doesn't apply if you break local rules by being aggressive towards someone else, for instance)",58e2a6b69c99175decef88c7,"['en', 'fr']",octodon.social,"['nudity_nocw', 'pornography_nocw', 'sexism', 'racism', 'spam', 'advertising', 'hateSpeeches', 'harrassment']",The cutest general purpose safe instance. We love science and beautiful things. LGBT+ and PoC are welcome.,
8,[],"Why should you sign up on mstdn.io?

This instance is not focused on any theme or subject, feel free to talk about whatever you want. Although the main language is english, we accept every single language and country.

We're connected to the whole OStatus/ActivityPub fediverse and we do not block any foreign instance nor user.

We do have rules (see below), but the goal is to have responsible users. So far we haven't had any issue with moderation

The instance uses a powerful server to ensure speed and stability, and it has good uptime. We follow state-of-the-art security practices. See below for more technical details

Also, we have over 300 custom emojis to unleash your meming potential 👍",58e3ecaae1a16a694963891e,"['en', 'fr', 'ja', 'pt']",mstdn.io,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']","Fast, secure and up-to-date instance, welcoming everyone around the world. Join us!",
9,"['academia', 'activism', 'adult', 'anime', 'art', 'books', 'furry', 'games', 'humor', 'journalism', 'lgbt', 'music', 'poc', 'sports', 'tech']","Be different, be free
We are quey.org! We are a generalistic and moderated Mastodon instance for people of all colors and sizes. 

As a general instance, we are not centered on a specific theme, or a specific language. Everyone is welcome as long as they follow the few rules we have.",5ba65fb202530563670824b2,"['ab', 'aa', 'af', 'ak', 'sq', 'am', 'ar', 'an', 'hy', 'as', 'av', 'ay', 'az', 'bm', 'ba', 'eu', 'be', 'bn', 'bh', 'bi', 'bs', 'br', 'bg', 'my', 'km', 'ca', 'ch', 'ce', 'ny', 'zh', 'cv', 'kw', 'co', 'cr', 'hr', 'cs', 'da', 'dv', 'nl', 'dz', 'en', 'eo', 'et', 'ee', 'fo', 'fj', 'fi', 'fr', 'gl', 'lg', 'ka', 'de', 'el', 'kl', 'gn', 'gu', 'ht', 'ha', 'he', 'hz', 'hi', 'ho', 'hu', 'is', 'io', 'ig', 'id', 'ia', 'ie', 'iu', 'ik', 'ga', 'it', 'ja', 'jv', 'kn', 'kr', 'ks', 'kk', 'ki', 'ky', 'rn', 'kv', 'kg', 'ko', 'kj', 'ku', 'lo', 'la', 'lv', 'li', 'ln', 'lt', 'lb', 'mk', 'mg', 'ms', 'ml', 'mt', 'gv', 'mi', 'mr', 'mh', 'mo', 'mn', 'na', 'nv', 'ng', 'ne', 'nd', 'se', 'no', 'nn', 'oc', 'oj', 'cu', 'or', 'om', 'os', 'pi', 'pa', 'ps', 'fa', 'ff', 'pl', 'pt', 'qu', 'rm', 'ro', 'ru', 'rw', 'sm', 'sg', 'sa', 'sc', 'gd', 'sr', 'sh', 'sn', 'ii', 'sd', 'si', 'sk', 'sl', 'so', 'nr', 'st', 'es', 'su', 'sw', 'ss', 'sv', 'tl', 'ty', 'tg', 'ta', 'tt', 'te', 'th', 'bo', 'ti', 'to', 'ts', 'tn', 'tr', 'tk', 'tw', 'uk', 'ur', 'ug', 'uz', 've', 'vi', 'vo', 'wa', 'cy', 'fy', 'wo', 'xh', 'yi', 'yo', 'za', 'zu']",quey.org,"['nudity_nocw', 'pornography_all', 'spam', 'spoilers_nocw']","Be different, be free
We are quey.org! We are a generalistic and moderated Mastodon instance for people of all colors and sizes. ",
10,"['anime', 'art', 'furry', 'games', 'music']","Art‽ 🎨📸✏️🎥🖥️🕹️🖼️🎶💡💬—Artists creating, illustrating, sketching, singing, musically inclined, photographing, sculpture, discussing & daily living too.
Mastodon.art — a place for your artwork of all types from visual, musical, peformance or ____. Also, fun banter, commentary & cited fair-use posts/art/reviews of others' art too. Replace your twitter, tumblr & Facebook! Welcome to y(our) free & open source decentralized life. Mastodon.art doesn't monetize or profit off of your personal information—your information is never for sale. Export & leave for another instance anytime. No Brand, name or famous trademark squatting. Zero tolerance for harrassment or bullying — your account will be deleted. No Porn, No Loli, Artistic Form, No Bots & Respect Others",58f19472762338151ee6d8a9,"['da', 'nl', 'en', 'fr', 'de', 'ja', 'sv']",mastodon.art,"['nudity_nocw', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam', 'advertising']","🐘Mastodon.ART🎨; Artists of all backgrounds art welcome & also your fun daily banter, commentary & cited fair-use art reviews too.
Art‽ 🎨📸✏️🎥🖥️🕹️🖼️🎶💡💬","Art, Music, Photography, Sculpture, Discussion & Generalistic too."
11,[],"Updates are applied quickly.

We have no too strong rules but,
On social.tchncs.de our primary directive is:
→ ""Be nice to each other!""

The full CoC is here: https://social.tchncs.de/about/more",58e11571a0edbc7317b4f531,"['en', 'de']",social.tchncs.de,[],"Big instance from germany, hosted with much love.",
12,"['anime', 'games', 'tech']","We are a moderated instance, that aren't supporting harassment nor hateful speech, so what set us apart? Well, unlike many instances like us, we won't prevent you to interact with instances that aren't respecting our rules.
The main language used here is English, but for most of us this isn't our main language, so it's a great place to learn! 

Here, we are open to any subjects, but the main ones are:
- Fictions / Animes / Mangas / Comics
- Gaming / e-Sport / Retro / Speedrun
- Programming / Security / IT stuffs
- Sometime politics / World events
- Pictures and story from around the world <3 

If you want more infos, visit our instance ^-^ !",58e4d48be4f3ee39913233ac,"['en', 'fr']",niu.moe,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']",Welcome to your niu world ! 💗 We are a cute and loving international community Ｏ(≧▽≦)Ｏ !,💗 Friendly 🎎 Anime 🎮 Gaming 🖥️ Computer things
13,[],Knzk.me -The most enjoyable instance- https://knzk.me,59d1a646cd5c687334b1b31b,"['zh', 'en', 'ja', 'ko']",knzk.me,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']",Knzk.me,General Tech Develop Design Art Gaming Anime Friendly
14,"['academia', 'activism', 'lgbt']","[en] Todon.nl is a leftist Mastodon instance for progressives, socialists, anarchists, (left-wing) activists, environmentalists, vegans, anti-racists, anti-fascists, anti-capitalists, pirates, LGBTQ+, human rights activists, etc. Please join us!

[nl] Todon.nl is een linkse Mastodonserver voor progressievelingen, socialisten, anarchisten, (linkse) activisten, milieubewuste mensen, vegans, antiracisten, antifascisten, antikapitalisten, piraten, LGBTQ+, mensenrechtenactivisten, enz. Meld je aan!",59089f9ee50812648e3e22f8,"['ca', 'nl', 'en', 'de', 'es', 'fy']",todon.nl,"['nudity_nocw', 'pornography_nocw', 'pornography_all', 'spam', 'advertising']","Leftist instance for progressives, socialists, anarchists, activists, environmentalists, vegans, anti-fascists, LGBTQ+, human rights activists, etc",
15,[],"mastodont.cat és una instància de Mastodon en català, per la comunitat de llengua i cultura catalana d'arreu d'internet.",58f6077f762338151ee6dbb1,"['ca', 'en', 'es']",mastodont.cat,"['nudity_nocw', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']",Per als catalans al voltant del #fedivers. Catalan people around the #fediverse.,"Catalunya, Catalonia, Catalan culture."
16,"['games', 'tech']","What is fosstodon.org?

Fosstodon is a Mastodon instance that is dedicated to Free & Open Source Software, or FOSS as many call it. Fosstodon is for people who are interested in open source technology and the awesome community around it. Whether that be Linux, open source software like Firefox, or Mastodon itself. If you're interested in technology, Fosstodon is a great place to start.",59ac76269164b77b5b1f371f,['en'],fosstodon.org,"['nudity_nocw', 'nudity_all', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam']",A Mastodon instance for people who love FOSS/Linux.,"Technology, Linux, FOSS, Open Source, Software, Computers"
17,[],Generalistic Instance,58e400a5b4531557cb3e0e97,"['en', 'fr']",status.dissidence.ovh,[],Generalistic Instance,
18,[],"Discussions by game developers, or about game development. Art, Design, Technology, QA, Support etc.; all aspects of game development topics are welcome.",5a09f2d41db03f66b0ad313e,['en'],mastodon.gamedev.place,"['nudity_nocw', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam', 'advertising']",Game development!,game development
19,['tech'],See https://toot.cafe/about/more for full description,58e3f012e1a16a694963892e,['en'],toot.cafe,[],"General interest plus programming, JavaScript, CSS, web. Purple-themed. 💜","General, web, JavaScript, CSS"
